"Code","Description","Parent","Table","Version"
"L527","Roof finishing coatings","L52","L","1.4"
"L5271","Solar reflective roof coatings","L527","L","1.4"
"L529","Ancillary products for roof coverings, claddings, linings","L52","L","1.4"
"L5291","Fixings","L529","L","1.4"
"L5292","Slate and tile vents","L529","L","1.4"
"L5293","Roof space vents","L529","L","1.4"
"L5294","Edgings and trims","L529","L","1.4"
"L52941","Barge boards","L5294","L","1.4"
"L52942","Soffit boards","L5294","L","1.4"
"L52943","Eaves trims","L5294","L","1.4"
"L52944","Flashings","L5294","L","1.4"
"L52945","Verges","L5294","L","1.4"
"L5295","Sarking/underlay/lining","L529","L","1.4"
"L5296","Roof penetration fittings","L529","L","1.4"
"L53","Floor coverings, claddings, linings","L5","L","1.4"
"L531","Preformed flooring systems","L53","L","1.4"
"L532","Strip flooring","L53","L","1.4"
"L533","Tiles and blocks (rigid)","L53","L","1.4"
"L5331","Floor tiles","L533","L","1.4"
"L53311","Promenade tiles","L5331","L","1.4"
"L5332","Floor blocks","L533","L","1.4"
"L534","Pavings","L53","L","1.4"
"L5341","Slabs, flags","L534","L","1.4"
"L5342","Bricks, blocks","L534","L","1.4"
"L5343","Setts, cobbles","L534","L","1.4"
"L5344","Resin bound surfacing","L534","L","1.4"
"L535","Metal industrial flooring","L53","L","1.4"
"L536","Flexible floor covering sheets/tiles","L53","L","1.4"
"L5361","Carpet","L536","L","1.4"
"L53611","Underlay","L5361","L","1.4"
"L5362","Carpet tiles","L536","L","1.4"
"L5363","Natural linoleum","L536","L","1.4"
"L5364","Vinyl sheets, synthetic linoleum","L536","L","1.4"
"L5365","Rubber sheets","L536","L","1.4"
"L5366","Cork","L536","L","1.4"
"L5367","Entrance matting","L536","L","1.4"
"L537","Jointless flooring/floor screeds","L53","L","1.4"
"L5371","Cement based screeds","L537","L","1.4"
"L5372","Non cement based screeds","L537","L","1.4"
"L538","Floor finishing coatings","L53","L","1.4"
"L5381","Floor seals","L538","L","1.4"
"L5382","Anti-slip","L538","L","1.4"
"L539","Ancillary products for floor coverings, claddings, linings","L53","L","1.4"
"L5391","Fixings","L539","L","1.4"
"L53911","Acoustic floor mountings","L5391","L","1.4"
"L53912","Anti-vibration floor mountings","L5391","L","1.4"
"L53913","Carpet grippers","L5391","L","1.4"
"L53914","Stair rods","L5391","L","1.4"
"L53915","Floor clips","L5391","L","1.4"
"L5392","Concrete floor treatments","L539","L","1.4"
"L53921","Curers","L5392","L","1.4"
"L53922","Hardeners","L5392","L","1.4"
"L53923","Seals","L5392","L","1.4"
"L5393","Anti-static carpet treatment","L539","L","1.4"
"L5394","Reinforcement","L539","L","1.4"
"L5395","Floor insulation","L539","L","1.4"
"L5396","Waterproofing membrane","L539","L","1.4"
"L54","Ceiling coverings, claddings","L5","L","1.4"
"L541","Ceiling tiles","L54","L","1.4"
"L542","Ceiling panels, boards","L54","L","1.4"
"L543","Ceiling finishing coatings","L54","L","1.4"
"L549","Ancillary products for ceiling coverings, claddings, linings","L54","L","1.4"
"L5491","Fixings","L549","L","1.4"
"L55","General products for coverings and claddings","L5","L","1.4"
"L551","Plasters","L55","L","1.4"
"L5511","Gypsum plasters","L551","L","1.4"
"L5512","Lime plasters","L551","L","1.4"
"L552","Levellings, linings","L55","L","1.4"
"L5521","Vapour and airtight membranes","L552","L","1.4"
"L553","Beddings, adhesives, grouts","L55","L","1.4"
"L554","Movement/dividing joints, spacings","L55","L","1.4"
"L555","Joint coverings including expansion joints","L55","L","1.4"
"L556","Mouldings, edgings, trims","L55","L","1.4"
"L5561","Skirting boards","L556","L","1.4"
"L5562","Dado rails/mouldings","L556","L","1.4"
"L5563","Picture rails/mouldings","L556","L","1.4"
"L5564","Decorative mouldings","L556","L","1.4"
"L55641","Arrises","L5564","L","1.4"
"L55642","Cornices, friezes","L5564","L","1.4"
"L55643","Coves","L5564","L","1.4"
"L55644","Ceiling roses","L5564","L","1.4"
"L55645","Pilasters","L5564","L","1.4"
"L55646","Scagliola","L5564","L","1.4"
"L5565","Sealing strips","L556","L","1.4"
"L557","Supports","L55","L","1.4"
"L558","Reinforcements","L55","L","1.4"
"L6","General purpose civil engineering and construction fabric products","L","L","1.4"
"L61","Loose granular fills, aggregates, chips","L6","L","1.4"
"L611","Dense fills/aggregates","L61","L","1.4"
"L6111","Blast furnace slag","L611","L","1.4"
"L6112","Gravel","L611","L","1.4"
"L6113","Sand","L611","L","1.4"
"L6114","Crushed stone","L611","L","1.4"
"L6115","Recycled brick/concrete","L611","L","1.4"
"L6116","Iron ore","L611","L","1.4"
"L6117","Barytes","L611","L","1.4"
"L6118","Scrap iron","L611","L","1.4"
"L612","Lightweight fills/aggregates","L61","L","1.4"
"L6121","Clay, slate aggregates, expanded","L612","L","1.4"
"L6122","Glass aggregate, expanded","L612","L","1.4"
"L6123","Vermiculite","L612","L","1.4"
"L6124","Perlite","L612","L","1.4"
"L6125","Diatomaceous earth","L612","L","1.4"
"L6126","Synthetic foam granules","L612","L","1.4"
"L6127","Cork granules","L612","L","1.4"
"L6128","Foamed/expanded slag","L612","L","1.4"
"L6129","Sintered pulverised fuel ash","L612","L","1.4"
"L613","Wood particles","L61","L","1.4"
"L6131","Sawdust","L613","L","1.4"
"L62","Binding agents","L6","L","1.4"
"L621","Cement","L62","L","1.4"
"L6211","Acid resistant cement","L621","L","1.4"
"L6212","Rapid hardening cement","L621","L","1.4"
"L622","Cement replacements","L62","L","1.4"
"L6221","Natural pozzolan","L622","L","1.4"
"L6222","Pulverised fuel ash","L622","L","1.4"
"L6223","Microsilica","L622","L","1.4"
"L6224","Ground granulated blast furnace slag","L622","L","1.4"
"L623","Lime, hydraulic","L62","L","1.4"
"L624","Lime, air hardening","L62","L","1.4"
"L625","Bitumen, asphalt","L62","L","1.4"
"L626","Resinous binders","L62","L","1.4"
"L627","Gypsum","L62","L","1.4"
"L63","Admixtures, additives","L6","L","1.4"
"L631","Admixtures by type","L63","L","1.4"
"L6311","Plasticizing agents","L631","L","1.4"
"L63111","Detergents","L6311","L","1.4"
"L6312","Water agents","L631","L","1.4"
"L63121","Retaining","L6312","L","1.4"
"L63122","Reducing","L6312","L","1.4"
"L6313","Gas generating agents","L631","L","1.4"
"L63131","Air-entraining agents","L6313","L","1.4"
"L63132","Expanding agents","L6313","L","1.4"
"L63133","Foaming agents","L6313","L","1.4"
"L6314","Setting agents","L631","L","1.4"
"L63141","Retarders","L6314","L","1.4"
"L63142","Accelerators","L6314","L","1.4"
"L6315","Proofing agents","L631","L","1.4"
"L63151","Frostproofing","L6315","L","1.4"
"L63152","Waterproofing","L6315","L","1.4"
"L63153","Oil proofing","L6315","L","1.4"
"L63154","Adherence proofing","L6315","L","1.4"
"L6316","Colouring agents","L631","L","1.4"
"L6317","Admixtures for injections","L631","L","1.4"
"L6318","Admixtures for projections","L631","L","1.4"
"L6319","Pumping aids","L631","L","1.4"
"L632","Admixtures by use","L63","L","1.4"
"L6321","Cement admixtures (general purpose)","L632","L","1.4"
"L6322","Mortar admixtures","L632","L","1.4"
"L6323","For underwater use","L632","L","1.4"
"L633","Fibre reinforcement","L63","L","1.4"
"L6331","Polymer","L633","L","1.4"
"L6332","Glass","L633","L","1.4"
"L6333","Steel","L633","L","1.4"
"L64","Mortars/grouting/chocking compounds","L6","L","1.4"
"L641","General purpose cement:sand mortar","L64","L","1.4"
"L6411","Wet (ready to use)","L641","L","1.4"
"L6412","Dry","L641","L","1.4"
"L6413","Partial mix","L641","L","1.4"
"L642","Special mortars/grouting/chocking compounds","L64","L","1.4"
"L6421","Epoxy/other hydrocarbon mortars/grouting/chocking compounds","L642","L","1.4"
"L6422","Intumescent mortars","L642","L","1.4"
"L6423","Repair mortars","L642","L","1.4"
"L65","General purpose sections","L6","L","1.4"
"L651","Rigid sections","L65","L","1.4"
"L6511","Timber sections","L651","L","1.4"
"L6512","Steel sections","L651","L","1.4"
"L65121","Open, flanged sections","L6512","L","1.4"
"L65122","Circular hollow sections","L6512","L","1.4"
"L65123","Rectangular hollow sections","L6512","L","1.4"
"L65124","Cold-formed steel sections","L6512","L","1.4"
"L6513","Light-alloy sections","L651","L","1.4"
"L6514","Plastic sections","L651","L","1.4"
"L652","Flexible sections","L65","L","1.4"
"L6521","Plastic sections","L652","L","1.4"
"L6522","Rubber sections","L652","L","1.4"
"L66","General purpose sheets","L6","L","1.4"
"L661","Solid sheets","L66","L","1.4"
"L6611","Fibre-silicate sheets","L661","L","1.4"
"L6612","Plasterboard","L661","L","1.4"
"L6613","Glass sheets","L661","L","1.4"
"L66131","Clear glass","L6613","L","1.4"
"L661311","Flat glass","L66131","L","1.4"
"L661312","Double/multiple glazing","L66131","L","1.4"
"L661313","Toughened glass","L66131","L","1.4"
"L661314","Laminated glass","L66131","L","1.4"
"L661315","Self-cleaning glass","L66131","L","1.4"
"L66132","Wired","L6613","L","1.4"
"L661321","Corrugated wired","L66132","L","1.4"
"L66133","Obscured glass","L6613","L","1.4"
"L661331","Translucent","L66133","L","1.4"
"L661332","Opaque","L66133","L","1.4"
"L661333","Coloured glass","L66133","L","1.4"
"L661334","Tinted glass","L66133","L","1.4"
"L66134","Treated glass","L6613","L","1.4"
"L661341","Mirror glass","L66134","L","1.4"
"L661342","Reflective glass","L66134","L","1.4"
"L661343","Diffuse reflection glass","L66134","L","1.4"
"L66135","Architectural glass","L6613","L","1.4"
"L661351","Stained glass","L66135","L","1.4"
"L661352","Engraved glass","L66135","L","1.4"
"L661353","Other decorative finishes for glass","L66135","L","1.4"
"L661354","Window leading materials","L66135","L","1.4"
"L66136","Vacuum glass","L6613","L","1.4"
"L66137","Glass by function","L6613","L","1.4"
"L661371","Decorative glass","L66137","L","1.4"
"L661372","Solar control glass","L66137","L","1.4"
"L661373","Safety glass","L66137","L","1.4"
"L661374","Security glass","L66137","L","1.4"
"L6614","Steel sheets","L661","L","1.4"
"L66141","Flat","L6614","L","1.4"
"L661411","Floor grating/checkerplate","L66141","L","1.4"
"L661412","Hot rolled steel plate","L66141","L","1.4"
"L66142","Profiled","L6614","L","1.4"
"L6615","Aluminium/light-alloy sheets","L661","L","1.4"
"L66151","Flat","L6615","L","1.4"
"L66152","Profiled","L6615","L","1.4"
"L6616","Other metal sheets","L661","L","1.4"
"L6617","Plywood/blockboard/laminboard","L661","L","1.4"
"L66171","Plain","L6617","L","1.4"
"L66172","Wood veneered","L6617","L","1.4"
"L66173","Polymer coated","L6617","L","1.4"
"L6618","Particle boards, fibreboards","L661","L","1.4"
"L66181","Hardboard","L6618","L","1.4"
"L66182","Medium-density fibreboard (MDF)","L6618","L","1.4"
"L66183","Insulating board","L6618","L","1.4"
"L66184","Chipboard","L6618","L","1.4"
"L66185","Oriented strand board (OSB)","L6618","L","1.4"
"L66186","Cement bonded board","L6618","L","1.4"
"L66187","Gypsum fibreboard","L6618","L","1.4"
"L6619","Plastic sheets","L661","L","1.4"
"L66191","Solid surface resin based sheets","L6619","L","1.4"
"L662","Hollow core sheets","L66","L","1.4"
"L6621","Particle board, hollow core","L662","L","1.4"
"L6622","Honeycomb sheets","L662","L","1.4"
"L6623","Metal","L662","L","1.4"
"L6624","Plastics","L662","L","1.4"
"L663","Thin flexible sheets including textiles","L66","L","1.4"
"L6631","Thin sheets, plastics","L663","L","1.4"
"L6632","Thin sheets, metal","L663","L","1.4"
"L66321","Foils","L6632","L","1.4"
"L6633","Thin sheets, timber","L663","L","1.4"
"L6634","Textiles","L663","L","1.4"
"L6635","Building papers","L663","L","1.4"
"L6636","Rubber sheets","L663","L","1.4"
"L6637","Mesh for general use","L663","L","1.4"
"L6638","Lathing","L663","L","1.4"
"L66381","Angle beads","L6638","L","1.4"
"L66382","Edging beads","L6638","L","1.4"
"L66383","Arris protectors","L6638","L","1.4"
"L664","Decorative laminate board","L66","L","1.4"
"L6641","Veneered","L664","L","1.4"
"L6642","Paper based","L664","L","1.4"
"L665","Perforated sheets","L66","L","1.4"
"L6651","Gratings","L665","L","1.4"
"L66511","Plastics gratings","L6651","L","1.4"
"L67","General purpose fixing/jointing products","L6","L","1.4"
"L671","General purpose fixings","L67","L","1.4"
"L6711","Products to accept fixings","L671","L","1.4"
"L67111","Plugs","L6711","L","1.4"
"L67112","Anchor rails","L6711","L","1.4"
"L67113","Anchor blocks","L6711","L","1.4"
"L67114","Channels","L6711","L","1.4"
"L67115","Sockets","L6711","L","1.4"
"L6712","Fixing products","L671","L","1.4"
"L67121","Threadless fixings","L6712","L","1.4"
"L671211","Nails","L67121","L","1.4"
"L671212","Panel pins","L67121","L","1.4"
"L671213","Rivets","L67121","L","1.4"
"L671214","Staples","L67121","L","1.4"
"L67122","Threaded fixings","L6712","L","1.4"
"L671221","Bolts and nuts","L67122","L","1.4"
"L671222","Screws","L67122","L","1.4"
"L67123","Chemical fixings","L6712","L","1.4"
"L67124","Locating and locking devices","L6712","L","1.4"
"L67125","Adjusting fixings","L6712","L","1.4"
"L67126","Bandings","L6712","L","1.4"
"L67127","Cramps","L6712","L","1.4"
"L67128","Anchors","L6712","L","1.4"
"L671281","Anchor bolts","L67128","L","1.4"
"L671282","Expanding bolts","L67128","L","1.4"
"L672","Welded joint products","L67","L","1.4"
"L6721","Joint fillers for soldering","L672","L","1.4"
"L6722","Joint fillers for brazing","L672","L","1.4"
"L6723","Joint fillers for welding","L672","L","1.4"
"L67231","Joint fillers for electric welding","L6723","L","1.4"
"L67232","Joint fillers for gas welding","L6723","L","1.4"
"L673","Adhesives","L67","L","1.4"
"L6731","Natural adhesives/glues","L673","L","1.4"
"L6732","Rubber-based adhesives","L673","L","1.4"
"L6733","Two pack polymerising adhesives","L673","L","1.4"
"L674","General purpose tape","L67","L","1.4"
"L675","Joint fillers, sealants","L67","L","1.4"
"L6751","Joint fillers","L675","L","1.4"
"L6752","Putties","L675","L","1.4"
"L6753","Glazing sealants","L675","L","1.4"
"L6754","Construction sealants","L675","L","1.4"
"L6755","Gaskets","L675","L","1.4"
"L676","Ropes, wires, cables","L67","L","1.4"
"L6761","Ropes","L676","L","1.4"
"L6762","Wires","L676","L","1.4"
"L6763","Cables","L676","L","1.4"
"L68","Proofings, insulation, paints, etc.","L6","L","1.4"
"L681","Proofings, insulation","L68","L","1.4"
"L6811","Fireproofings","L681","L","1.4"
"L68111","Boards etc.","L6811","L","1.4"
"L68112","Blankets, quilts, rolls, etc.","L6811","L","1.4"
"L68113","Casings","L6811","L","1.4"
"L68114","Fire seals/stops","L6811","L","1.4"
"L68115","Flame retardant coatings/paints","L6811","L","1.4"
"L68116","Intumescent coatings/paints/castings","L6811","L","1.4"
"L68117","Sprayed coatings","L6811","L","1.4"
"L6812","Dampproofings","L681","L","1.4"
"L68121","Membranes","L6812","L","1.4"
"L68122","Coatings","L6812","L","1.4"
"L68123","Chemical injection","L6812","L","1.4"
"L68124","Vapour barriers/foils","L6812","L","1.4"
"L68125","Building papers/breather membranes","L6812","L","1.4"
"L6813","Waterproofing","L681","L","1.4"
"L68131","Boards etc.","L6813","L","1.4"
"L68132","Thin sheet membranes","L6813","L","1.4"
"L68133","Coatings/liquid applied membranes","L6813","L","1.4"
"L6814","Tanking","L681","L","1.4"
"L68141","Tiles, panels, etc.","L6814","L","1.4"
"L68142","Coatings/liquid applied membranes","L6814","L","1.4"
"L6815","Thermal insulation","L681","L","1.4"
"L68151","Panels, slabs, boards, etc.","L6815","L","1.4"
"L68152","Quilts, rolls, etc.","L6815","L","1.4"
"L68153","Preformed casings","L6815","L","1.4"
"L68154","Coatings","L6815","L","1.4"
"L68155","Sprayed coatings","L6815","L","1.4"
"L68156","Loose fill","L6815","L","1.4"
"L6816","Acoustic insulation","L681","L","1.4"
"L68161","Panels, slabs, etc.","L6816","L","1.4"
"L68162","Quilts, rolls, etc.","L6816","L","1.4"
"L68163","Coatings","L6816","L","1.4"
"L6817","Vibration insulation","L681","L","1.4"
"L68171","Pads","L6817","L","1.4"
"L6818","Prevention of biological/chemical attack/damage","L681","L","1.4"
"L68181","Coatings to prevent biological attack","L6818","L","1.4"
"L68182","Coatings to prevent chemical damage","L6818","L","1.4"
"L68183","Membranes to prevent biological attack","L6818","L","1.4"
"L68184","Membranes to prevent chemical damage","L6818","L","1.4"
"L6819","Prevention of abrasive wear","L681","L","1.4"
"L68191","Coatings","L6819","L","1.4"
"L682","Paints and varnishes","L68","L","1.4"
"L6821","Primers, undercoats","L682","L","1.4"
"L6822","General purpose finishing coats","L682","L","1.4"
"L68221","Solvent based","L6822","L","1.4"
"L68222","Water based","L6822","L","1.4"
"L6823","Textured paints","L682","L","1.4"
"L6824","Specialised function paints","L682","L","1.4"
"L68241","Solar reflective paints","L6824","L","1.4"
"L68242","Fluorescent paints","L6824","L","1.4"
"L68243","Corrosion prevention paints","L6824","L","1.4"
"L68244","Line paints for sports grounds","L6824","L","1.4"
"L68245","Floor paints","L6824","L","1.4"
"L68246","Masonry paints","L6824","L","1.4"
"L68247","Road marking paints","L6824","L","1.4"
"L6825","Varnishes","L682","L","1.4"
"L683","Surface impregnation products","L68","L","1.4"
"L6831","Decorative surface impregnations","L683","L","1.4"
"L68311","Decorative timber conservation products","L6831","L","1.4"
"L6832","Protective surface impregnations","L683","L","1.4"
"L68321","Surface consolidation/hardening impregnations","L6832","L","1.4"
"L68322","Dirt inhibiting impregnations","L6832","L","1.4"
"L68323","Impregnations protecting from biological attack, timber preservatives","L6832","L","1.4"
"L68324","Impregnations preventing static electricity","L6832","L","1.4"
"L68325","Water repellent impregnations","L6832","L","1.4"
"L68326","Non-skid proofings","L6832","L","1.4"
"L68327","Anti-graffiti impregnations","L6832","L","1.4"
"L684","Other surface forming products","L68","L","1.4"
"L6841","Glazes","L684","L","1.4"
"L6842","Gilding","L684","L","1.4"
"L6843","Lacquers","L684","L","1.4"
"L6844","Vitreous enamelling","L684","L","1.4"
"L685","Corrosion prevention coatings","L68","L","1.4"
"L6851","Galvanised coatings","L685","L","1.4"
"L6852","Anodised coatings","L685","L","1.4"
"L6853","Electro-plated coatings","L685","L","1.4"
"L6854","Stoved organic finishes","L685","L","1.4"
"L6855","Patination","L685","L","1.4"
"L686","Vermin control","L68","L","1.4"
"L6861","Insect control","L686","L","1.4"
"L6862","Bird control","L686","L","1.4"
"L6863","Rodent control","L686","L","1.4"
"L69","General cleaning and repair products","L6","L","1.4"
"L691","Detergents, shampoo","L69","L","1.4"
"L692","Solvents, other general chemicals","L69","L","1.4"
"L693","Spot removing products","L69","L","1.4"
"L694","Graffiti removing products","L69","L","1.4"
"L695","Paint strippers","L69","L","1.4"
"L696","Polish","L69","L","1.4"
"L697","Repair products","L69","L","1.4"
"L6971","Concrete repair","L697","L","1.4"
"L6972","Masonry repair","L697","L","1.4"
"L6973","Timber repair","L697","L","1.4"
"L7","Services","L","L","1.4"
"L71","Supply/storage/distribution of liquids and gases","L7","L","1.4"
"L711","Water and general supply/storage/distribution","L71","L","1.4"
"L7111","Complete supply and distribution sets for water supply","L711","L","1.4"
"L71111","Packaged plumbing units","L7111","L","1.4"
"L7112","Cold water storage","L711","L","1.4"
"L71121","Rainwater tanks","L7112","L","1.4"
"L71122","Supply water tanks","L7112","L","1.4"
"L711221","Cisterns","L71122","L","1.4"
"L711222","Cylinders","L71122","L","1.4"
"L7113","Hot water storage","L711","L","1.4"
"L71131","Storage water heaters","L7113","L","1.4"
"L71132","Immersion water heaters","L7113","L","1.4"
"L71133","Calorifiers","L7113","L","1.4"
"L71134","Instantaneous water heaters","L7113","L","1.4"
"L71135","Ancillary products","L7113","L","1.4"
"L711351","Hot water cylinders","L71135","L","1.4"
"L711352","Cylinder jackets","L71135","L","1.4"
"L7114","Pumps for water supply/distribution","L711","L","1.4"
"L71141","Pump sets (combined booster pumps and pressurised vessels)","L7114","L","1.4"
"L71142","Booster pumps","L7114","L","1.4"
"L71143","Pressurised vessels","L7114","L","1.4"
"L71144","Submersible pumps","L7114","L","1.4"
"L71145","Swimming pool pumps","L7114","L","1.4"
"L7115","Water treatment","L711","L","1.4"
"L71151","Water filters, purifiers","L7115","L","1.4"
"L71152","Water softeners, conditioners","L7115","L","1.4"
"L71153","Ionizers, ozone treatment","L7115","L","1.4"
"L71154","Additives for water treatment","L7115","L","1.4"
"L71155","Swimming pool water treatment","L7115","L","1.4"
"L71156","Ornamental pool water treatment","L7115","L","1.4"
"L7116","Pipes and pipework for water supply/distribution","L711","L","1.4"
"L71161","Complete sets","L7116","L","1.4"
"L71162","Supply pipes","L7116","L","1.4"
"L71163","Pipe couplings/connectors","L7116","L","1.4"
"L71164","Expansion joints","L7116","L","1.4"
"L71165","Vibration (hammer) arrestors","L7116","L","1.4"
"L71166","Pressure reducers","L7116","L","1.4"
"L7117","Valves for water supply/distribution","L711","L","1.4"
"L71171","Boundary chambers/stopcock chambers","L7117","L","1.4"
"L71172","Inlet/outlet valves","L7117","L","1.4"
"L71173","Isolation valves","L7117","L","1.4"
"L71174","Adjusting valves","L7117","L","1.4"
"L71175","Controlling valves","L7117","L","1.4"
"L71176","Non-return valves","L7117","L","1.4"
"L71177","Mixing valves","L7117","L","1.4"
"L71178","Stopcocks","L7117","L","1.4"
"L71179","Fire valves","L7117","L","1.4"
"L7118","Water meters","L711","L","1.4"
"L712","Steam supply/storage/distribution","L71","L","1.4"
"L7121","Components of steam supply systems","L712","L","1.4"
"L713","Gas supply/storage/distribution","L71","L","1.4"
"L7131","Storage of gases","L713","L","1.4"
"L71311","Vacuum/pressurised air supply","L7131","L","1.4"
"L71312","Vessels for medical gases","L7131","L","1.4"
"L71313","Tanks for chemical/toxic gases","L7131","L","1.4"
"L7132","Compressors/pumps for gas supply/distribution","L713","L","1.4"
"L71321","Gas compressors","L7132","L","1.4"
"L71322","Vacuum pumps","L7132","L","1.4"
"L71323","Pumps for industrial/medical gases","L7132","L","1.4"
"L7133","Treatment for industrial/medical gases","L713","L","1.4"
"L7134","Gas meters","L713","L","1.4"
"L7135","Terminals for supplied gases","L713","L","1.4"
"L71351","Gas taps","L7135","L","1.4"
"L7136","Valves","L713","L","1.4"
"L714","Liquid fuel supply/storage/distribution","L71","L","1.4"
"L7141","Liquid fuel storage, tanks (atmospheric pressure)","L714","L","1.4"
"L7142","Storage vessels, fuel gas and LPG (pressurised)","L714","L","1.4"
"L7143","Liquid fuel pumps","L714","L","1.4"
"L715","Supply, storage and distribution of special liquids","L71","L","1.4"
"L7151","Storage for special liquids","L715","L","1.4"
"L7152","Pumps for special liquids","L715","L","1.4"
"L7153","Treatment for special liquids","L715","L","1.4"
"L716","Fixed fire suppression systems","L71","L","1.4"
"L7161","Gaseous fire suppression","L716","L","1.4"
"L7162","Chemical and foam fire suppression","L716","L","1.4"
"L7163","Water mist (fine water spray)","L716","L","1.4"
"L7164","Fire sprinklers","L716","L","1.4"
"L7165","Deluge suppression","L716","L","1.4"
"L7166","Fire suppression components","L716","L","1.4"
"L71661","Fire hydrants","L7166","L","1.4"
"L71662","Fire fighting media (foam, powder)","L7166","L","1.4"
"L71663","Fire pumps","L7166","L","1.4"
"L71664","Sprinkler heads","L7166","L","1.4"
"L72","Sanitary, laundry, cleaning equipment","L7","L","1.4"
"L721","Sanitary equipment","L72","L","1.4"
"L7211","Baths","L721","L","1.4"
"L72111","Spa baths, whirlpool baths","L7211","L","1.4"
"L72112","Deep soaking tubs","L7211","L","1.4"
"L72113","Sitzbaths","L7211","L","1.4"
"L72114","Baths with steps and/or seating","L7211","L","1.4"
"L72115","Footbaths","L7211","L","1.4"
"L72116","Communal washing units","L7211","L","1.4"
"L72117","Bath panels","L7211","L","1.4"
"L72118","Bath screens, curtains","L7211","L","1.4"
"L72119","Splashbacks for baths","L7211","L","1.4"
"L7212","Washbasins","L721","L","1.4"
"L72121","Vanity units","L7212","L","1.4"
"L72122","Hairdressers basins","L7212","L","1.4"
"L72123","Cloakroom hand rinse basins","L7212","L","1.4"
"L72124","Splashbacks for washbasins","L7212","L","1.4"
"L7213","Fountains","L721","L","1.4"
"L72131","Drinking","L7213","L","1.4"
"L72132","Washing","L7213","L","1.4"
"L7214","Showers","L721","L","1.4"
"L72141","Cabinets","L7214","L","1.4"
"L72142","Shower screens, curtains","L7214","L","1.4"
"L72143","Shower trays","L7214","L","1.4"
"L7215","Bidets","L721","L","1.4"
"L7216","Toilets","L721","L","1.4"
"L72161","Biological toilets","L7216","L","1.4"
"L72162","Chemical toilets","L7216","L","1.4"
"L72163","Pans, seats","L7216","L","1.4"
"L72164","WC cisterns","L7216","L","1.4"
"L72165","Connectors","L7216","L","1.4"
"L7217","Urinals","L721","L","1.4"
"L72171","Trough urinals","L7217","L","1.4"
"L72172","Slab urinals","L7217","L","1.4"
"L72173","Stall urinals","L7217","L","1.4"
"L72174","Bowl urinals","L7217","L","1.4"
"L72175","Sparge pipes","L7217","L","1.4"
"L7218","Sanitary disposal units","L721","L","1.4"
"L72181","Sanitary macerators/crushers","L7218","L","1.4"
"L72182","Sanitary incinerators","L7218","L","1.4"
"L7219","Body care","L721","L","1.4"
"L72191","Sauna equipment","L7219","L","1.4"
"L72192","Steam baths/showers","L7219","L","1.4"
"L722","Laundry equipment","L72","L","1.4"
"L7221","Washing machines","L722","L","1.4"
"L7222","Clothes driers","L722","L","1.4"
"L7223","Clothes airers","L722","L","1.4"
"L7224","Trouser presses","L722","L","1.4"
"L7225","Ironing/pressing equipment","L722","L","1.4"
"L7226","Laundry folding machines","L722","L","1.4"
"L7227","Laundry sinks, troughs","L722","L","1.4"
"L7228","Clothes lines","L722","L","1.4"
"L72281","Rotary lines","L7228","L","1.4"
"L72282","Retractable lines","L7228","L","1.4"
"L7229","Dry cleaning equipment","L722","L","1.4"
"L723","Other fittings linked to water supply and removal systems","L72","L","1.4"
"L7231","Dishwashers","L723","L","1.4"
"L7232","Sinks for kitchens, bars","L723","L","1.4"
"L7233","Equipment for laboratories, medical use, etc.","L723","L","1.4"
"L72331","Sinks, troughs","L7233","L","1.4"
"L72332","Bedpan washers","L7233","L","1.4"
"L72333","Surgical instrument sterilising equipment","L7233","L","1.4"
"L7234","Draining boards","L723","L","1.4"
"L7235","Waste disposal units","L723","L","1.4"
"L724","Cleaning equipment","L72","L","1.4"
"L7241","Room cleaning equipment","L724","L","1.4"
"L72411","Vacuum cleaners","L7241","L","1.4"
"L72412","Polishing machines","L7241","L","1.4"
"L72413","Carpet cleaning equipment","L7241","L","1.4"
"L7242","High pressure washing equipment","L724","L","1.4"
"L725","Ancillary sanitary, laundry, cleaning equipment","L72","L","1.4"
"L7251","Taps/terminals for water supply","L725","L","1.4"
"L72511","Taps","L7251","L","1.4"
"L725111","Mixer taps","L72511","L","1.4"
"L725112","Spray taps","L72511","L","1.4"
"L725113","Bibcocks","L72511","L","1.4"
"L7252","Plugs and chains","L725","L","1.4"
"L7253","Overflow fittings","L725","L","1.4"
"L7254","Traps for sinks and basins","L725","L","1.4"
"L73","Waste handling equipment","L7","L","1.4"
"L731","Wet waste handling products","L73","L","1.4"
"L7311","Complete wet waste handling systems","L731","L","1.4"
"L73111","Rainwater reclamation","L7311","L","1.4"
"L7312","Underground pipes and fittings","L731","L","1.4"
"L73121","Pipes and fittings","L7312","L","1.4"
"L73122","Sump pumps","L7312","L","1.4"
"L7313","Sanitary above ground pipes and fittings","L731","L","1.4"
"L73131","Valves for sanitary pipes and fittings","L7313","L","1.4"
"L7314","Rainwater pipes and fittings","L731","L","1.4"
"L73141","Complete pipe/guttering systems","L7314","L","1.4"
"L73142","Fascia/guttering systems","L7314","L","1.4"
"L73143","Internal rainwater systems","L7314","L","1.4"
"L73144","Roof outlets","L7314","L","1.4"
"L73145","Gutters","L7314","L","1.4"
"L73146","Downpipes/drain pipes","L7314","L","1.4"
"L73147","Siphonic drains","L7314","L","1.4"
"L7315","Channels, gullies and gratings","L731","L","1.4"
